Frequency (Hz)	Level (dB)
43.066406	-57.757465
86.132812	-33.415653
129.199219	-27.038107
172.265625	-28.852461
215.332031	-26.706827
258.398438	-21.974194
301.464844	-25.134544
344.531250	-28.076290
387.597656	-38.240555
430.664062	-45.649467
473.730469	-49.793209
516.796875	-58.555820
559.863281	-54.090221
602.929688	-51.659683
645.996094	-52.485634
689.062500	-54.462471
732.128906	-55.914089
775.195312	-52.681805
818.261719	-53.212284
861.328125	-53.570831
904.394531	-58.825703
947.460938	-63.161194
990.527344	-65.584427
1033.593750	-67.943573
1076.660156	-71.090706
1119.726562	-72.499466
1162.792969	-72.095596
1205.859375	-70.752502
1248.925781	-72.608215
1291.992188	-73.476219
1335.058594	-74.203819
1378.125000	-74.339188
1421.191406	-74.429520
1464.257812	-73.325005
1507.324219	-72.589859
1550.390625	-72.395752
1593.457031	-72.322289
1636.523438	-71.913773
1679.589844	-72.086098
1722.656250	-72.971886
1765.722656	-72.882149
1808.789062	-74.062752
1851.855469	-74.246635
1894.921875	-74.662079
1937.988281	-74.851875
1981.054688	-73.955605
2024.121094	-74.886093
2067.187500	-75.454971
2110.253906	-76.017365
2153.320312	-75.855446
2196.386719	-76.000572
2239.453125	-76.359848
2282.519531	-76.443420
2325.585938	-76.616531
2368.652344	-76.579697
2411.718750	-76.384514
2454.785156	-76.069946
2497.851562	-76.302589
2540.917969	-76.547745
2583.984375	-76.916748
2627.050781	-76.971413
2670.117188	-77.005981
2713.183594	-77.152000
2756.250000	-77.082153
2799.316406	-77.128479
2842.382812	-76.967102
2885.449219	-76.995171
2928.515625	-75.947266
2971.582031	-75.386742
3014.648438	-76.575096
3057.714844	-77.234016
3100.781250	-76.807381
3143.847656	-76.985741
3186.914062	-76.950195
3229.980469	-77.413803
3273.046875	-77.412239
3316.113281	-77.009903
3359.179688	-77.281693
3402.246094	-77.483986
3445.312500	-77.554016
3488.378906	-77.107819
3531.445312	-77.667778
3574.511719	-77.351173
3617.578125	-76.745155
3660.644531	-74.878281
3703.710938	-75.476753
3746.777344	-75.404678
3789.843750	-76.363686
3832.910156	-77.537010
3875.976562	-77.619461
3919.042969	-77.229637
3962.109375	-78.092400
4005.175781	-79.639786
4048.242188	-80.135445
4091.308594	-80.330589
4134.375000	-80.258926
4177.441406	-80.613960
4220.507812	-80.829170
4263.574219	-80.749672
4306.640625	-79.866310
4349.707031	-79.447594
4392.773438	-80.017128
4435.839844	-80.590981
4478.906250	-80.815231
4521.972656	-80.746559
4565.039062	-80.659355
4608.105469	-80.860725
4651.171875	-80.748550
4694.238281	-81.045540
4737.304688	-80.923798
4780.371094	-80.637657
4823.437500	-81.266045
4866.503906	-81.573387
4909.570312	-81.689873
4952.636719	-81.486183
4995.703125	-81.516815
5038.769531	-81.909462
5081.835938	-82.467949
5124.902344	-82.227280
5167.968750	-81.929802
5211.035156	-82.194565
5254.101562	-82.224060
5297.167969	-82.348427
5340.234375	-82.375160
5383.300781	-82.518692
5426.367188	-82.363251
5469.433594	-82.570366
5512.500000	-82.601357
5555.566406	-82.517975
5598.632812	-82.467049
5641.699219	-82.104721
5684.765625	-82.483467
5727.832031	-82.806068
5770.898438	-82.702423
5813.964844	-82.611511
5857.031250	-82.334900
5900.097656	-83.043747
5943.164062	-83.624748
5986.230469	-83.196579
6029.296875	-83.142082
6072.363281	-83.103600
6115.429688	-82.129631
6158.496094	-82.575485
6201.562500	-82.636658
6244.628906	-82.628510
6287.695312	-83.203903
6330.761719	-83.613335
6373.828125	-82.912270
6416.894531	-84.104630
6459.960938	-84.577232
6503.027344	-84.406815
6546.093750	-84.984703
6589.160156	-85.109131
6632.226562	-85.132973
6675.292969	-85.810570
6718.359375	-86.165924
6761.425781	-86.234718
6804.492188	-86.237053
6847.558594	-86.567535
6890.625000	-86.922997
