Frequency (Hz)	Level (dB)
43.066406	-58.086231
86.132812	-34.169899
129.199219	-27.793388
172.265625	-29.608358
215.332031	-27.446543
258.398438	-22.711288
301.464844	-25.869085
344.531250	-28.805786
387.597656	-38.964195
430.664062	-46.359810
473.730469	-50.494438
516.796875	-59.111107
559.863281	-54.804012
602.929688	-52.344414
645.996094	-53.104797
689.062500	-55.088840
732.128906	-56.483921
775.195312	-53.407482
818.261719	-53.898808
861.328125	-54.279987
904.394531	-59.558159
947.460938	-63.777275
990.527344	-66.110710
1033.593750	-68.332756
1076.660156	-71.080956
1119.726562	-72.279938
1162.792969	-71.895874
1205.859375	-70.739639
1248.925781	-72.368401
1291.992188	-73.315773
1335.058594	-74.020767
1378.125000	-74.098999
1421.191406	-74.309845
1464.257812	-73.592163
1507.324219	-72.967751
1550.390625	-72.716911
1593.457031	-72.662079
1636.523438	-72.258591
1679.589844	-72.425095
1722.656250	-73.422699
1765.722656	-73.324707
1808.789062	-74.485008
1851.855469	-74.660378
1894.921875	-75.020790
1937.988281	-75.332809
1981.054688	-74.421150
2024.121094	-75.385979
2067.187500	-75.951027
2110.253906	-76.466675
2153.320312	-76.369019
2196.386719	-76.527786
2239.453125	-76.877243
2282.519531	-76.963997
2325.585938	-77.140816
2368.652344	-77.112358
2411.718750	-76.904396
2454.785156	-76.609772
2497.851562	-76.835770
2540.917969	-77.069733
2583.984375	-77.453880
2627.050781	-77.521538
2670.117188	-77.549606
2713.183594	-77.700737
2756.250000	-77.654701
2799.316406	-77.693336
2842.382812	-77.535263
2885.449219	-77.570107
2928.515625	-76.525909
2971.582031	-75.974312
3014.648438	-77.173553
3057.714844	-77.808876
3100.781250	-77.404930
3143.847656	-77.600426
3186.914062	-77.552010
3229.980469	-78.012665
3273.046875	-78.011253
3316.113281	-77.606384
3359.179688	-77.884590
3402.246094	-78.103905
3445.312500	-78.170158
3488.378906	-77.718956
3531.445312	-78.264648
3574.511719	-77.952927
3617.578125	-77.355698
3660.644531	-75.479057
3703.710938	-76.061264
3746.777344	-76.006569
3789.843750	-76.947205
3832.910156	-78.107155
3875.976562	-78.193100
3919.042969	-77.823166
3962.109375	-78.673988
4005.175781	-80.203117
4048.242188	-80.701820
4091.308594	-80.904091
4134.375000	-80.827538
